"","Speaker","Text","Scene","Episode","line_order_in_episode"
"2179","mrs hughes"," Anna's still not well. O'Brien, you'll need to dress the girls this morning.",32,"01x04 - Episode Four",324
"2180","miss o'brien"," All we know about Lady Mary and here I am waiting on her hand and foot.",32,"01x04 - Episode Four",325
"2181","thomas"," Will we do anything with that?",32,"01x04 - Episode Four",326
"2182","miss o'brien"," Maybe. But not yet.",32,"01x04 - Episode Four",327
"2183","thomas"," What do you look like? Daisy, what do you think he looks like? Do your buttons up.",32,"01x04 - Episode Four",328
"2184","daisy mason"," Well, go on, then.",32,"01x04 - Episode Four",329
"2185","miss o'brien"," What do you want?",33,"01x04 - Episode Four",330
"2186","gwen"," I've got a message for Lady Sybil from Her Ladyship.",33,"01x04 - Episode Four",331
"2187","lady sybil"," Thank you, O'Brien, I'll manage now.",33,"01x04 - Episode Four",332
"2188","lady sybil"," Odious woman. What does Mama want?",33,"01x04 - Episode Four",333
"2189","gwen"," I just said that to get rid of her. This came today.",33,"01x04 - Episode Four",334
"2190","lady sybil"," I knew they would want to see you.",33,"01x04 - Episode Four",335
"2191","gwen"," Well, it's your reference what's done it. But how am I going to get there? They won't let me take a day off.",33,"01x04 - Episode Four",336
"2192","lady sybil"," You're going to be ill. They can't stop you being ill.",33,"01x04 - Episode Four",337
"2193","gwen"," What?",33,"01x04 - Episode Four",338
"2194","lady sybil"," No one has seen Anna for a whole day. They won't notice if you vanish for a couple of hours.",33,"01x04 - Episode Four",339
"2195","lady mary"," The only one who never sticks up for me in all this is you. Why is that?",34,"01x04 - Episode Four",340
"2196","robert, earl of grantham"," You are my darling daughter, and I love you, hard as it is for an Englishman to say the words.",34,"01x04 - Episode Four",341
"2197","lady mary"," Well, then.",34,"01x04 - Episode Four",342
"2198","robert, earl of grantham"," If I had made my own fortune and bought Downton for myself, it should be yours without question. But I did not. My fortune is the work of others who laboured to build a great dynasty. Do I have the right to destroy their work or impoverish that dynasty? I am a custodian, my dear, not an owner. I must strive to be worthy of the task I've been set. If I could take Mama's out of the estate, Downton would have to be sold to pay for it. Is that what you want? To see Matthew a landless peer with a title but no means to pay for it?",34,"01x04 - Episode Four",343
"2199","lady mary"," So I'm just to find a husband and get out of the way?",34,"01x04 - Episode Four",344
"2200","robert, earl of grantham"," You could stay here if you married Matthew.",34,"01x04 - Episode Four",345
"2201","lady mary"," You know my character, Father. I'd never marry any man that I was told to. I'm stubborn. I wish I wasn't, but I am.",34,"01x04 - Episode Four",346
"2202","tom"," Will you have your own way, do you think? With the frock? Only, I couldn't help overhearing yesterday, and from what Her Ladyship said, it sounded as if you support women's rights.",35,"01x04 - Episode Four",347
"2203","lady sybil"," I suppose I do.",35,"01x04 - Episode Four",348
"2204","tom"," Because I'm quite political. In fact, I brought some pamphlets that I thought might interest you about the vote.",35,"01x04 - Episode Four",349
"2205","lady sybil"," Thank you. But please don't mention this to my father, or my grandmother. One whiff of reform and she hears the rattle of the guillotine. It seems rather unlikely, a revolutionary chauffeur.",35,"01x04 - Episode Four",350
"2206","tom"," Maybe. But I'm a socialist, not a revolutionary. And I won't always be a chauffeur.",35,"01x04 - Episode Four",351
"2207","dr clarkson"," Mrs Crawley, how nice.",36,"01x04 - Episode Four",352
"2208","isobel crawley"," If you're busy, we can come back later.",36,"01x04 - Episode Four",353
"2209","violet, dowager countess of grantham"," Molesley? What are you doing here? Are y—are you ill?",36,"01x04 - Episode Four",354
"2210","dr clarkson"," Poor Mr Molesley. Er, how's it going?",36,"01x04 - Episode Four",355
"2211","isobel crawley"," The solution doesn't seem to make it any better.",36,"01x04 - Episode Four",356
"2212","violet, dowager countess of grantham"," My imagination's running riot.",36,"01x04 - Episode Four",357
"2213","mr molesley"," I've got erysipelas, Your Ladyship.",36,"01x04 - Episode Four",358
"2214","violet, dowager countess of grantham"," Oh. Oh, I am sorry.",36,"01x04 - Episode Four",359
"2215","dr clarkson"," Mrs Crawley tells me she's recommended nitrate of silver and tincture of steel.",36,"01x04 - Episode Four",360
"2216","violet, dowager countess of grantham"," Why? Is she making a suit of armour?",36,"01x04 - Episode Four",361
"2217","dr clarkson"," But, er, I take it there's been no improvement.",36,"01x04 - Episode Four",362
"2218","mr molesley"," Not really.",36,"01x04 - Episode Four",363
"2219","violet, dowager countess of grantham"," And you're sure it's erysipelas?",36,"01x04 - Episode Four",364
"2220","dr clarkson"," That is...Mrs Crawley's diagnosis.",36,"01x04 - Episode Four",365
"2221","violet, dowager countess of grantham"," What it is to have medical knowledge.",36,"01x04 - Episode Four",366
"2222","isobel crawley"," It has its uses.",36,"01x04 - Episode Four",367
"2223","violet, dowager countess of grantham"," Mm. I see your father has been making changes at home.",36,"01x04 - Episode Four",368
"2224","mr molesley"," He has, milady. He's got no use for the herb garden now me mother's gone, so he's turned it to grass.",36,"01x04 - Episode Four",369
"2225","violet, dowager countess of grantham"," And you've been helping him?",36,"01x04 - Episode Four",370
"2226","mr molesley"," I have.",36,"01x04 - Episode Four",371
"2227","violet, dowager countess of grantham"," (chuckles) Grubbing out the old rue hedge.",36,"01x04 - Episode Four",372
"2228","mr molesley"," How did you know that?",36,"01x04 - Episode Four",373
"2229","violet, dowager countess of grantham"," Because this is not erysipelas. This is a rue allergy. If Molesley wears gardening gloves, it'll be gone in a week. Please, don't think we're ungrateful for your enthusiasm, Mrs Crawley, but there comes a time when things are best left to the professionals.",36,"01x04 - Episode Four",374
"2230","isobel crawley"," But I—",36,"01x04 - Episode Four",375
"2231","violet, dowager countess of grantham"," And now I really—I really must go. Good day.",36,"01x04 - Episode Four",376
"2232","mr molesley"," Thank you, Your Ladyship.",36,"01x04 - Episode Four",377
"2233","matthew"," I hope Cousin Violet has recovered from last night.",37,"01x04 - Episode Four",378
"2234","robert, earl of grantham"," Whatever she says, my mother is as strong as an ox, and it's high time she let go of her scheme for upsetting everything. Time we all did.",37,"01x04 - Episode Four",379
"2235","matthew"," I can't deny I'm pleased to hear it.",37,"01x04 - Episode Four",380
"2236","robert, earl of grantham"," Are you beginning to see a future here, then?",37,"01x04 - Episode Four",381
"2237","matthew"," In a way, this latest business has forced me to recognise that I do want Downton to be my future.",37,"01x04 - Episode Four",382
"2238","robert, earl of grantham"," I'm glad.",37,"01x04 - Episode Four",383
"2239","matthew"," You must have thought me an awful prig when I first arrived.",37,"01x04 - Episode Four",384
"2240","robert, earl of grantham"," Not a prig, just a man thrust into something he never wanted or envisaged.",37,"01x04 - Episode Four",385
"2241","matthew"," I can only see the absurdity of the whole thing. I'm sorry.",37,"01x04 - Episode Four",386
"2242","robert, earl of grantham"," Well, there are absurdities involved as I know well enough.",37,"01x04 - Episode Four",387
"2243","matthew"," Possibilities, too, and I was blind to them. I was determined not to let it change me. It was absurd. If you don't change, you die.",37,"01x04 - Episode Four",388
"2244","robert, earl of grantham"," Do you think so? I'm not sure. Sometimes I think I hate change.",37,"01x04 - Episode Four",389
"2245","matthew"," Well, at least we can comfort ourselves that this'll still be here...because we saved it.",37,"01x04 - Episode Four",390
"2246","daisy mason"," Thomas is lovely in every way. He's funny and handsome, and he's got such lovely teeth.",38,"01x04 - Episode Four",391
"2247","mrs patmore"," He's not for you, Daisy.",38,"01x04 - Episode Four",392
"2248","daisy mason"," 'Course not. He's too good for me, I know that.",38,"01x04 - Episode Four",393
"2249","mrs patmore"," No. He's not too good.",38,"01x04 - Episode Four",394
"2250","daisy mason"," What then?",38,"01x04 - Episode Four",395
"2251","mrs patmore"," He's not the boy for you, and you're not the girl for him.",38,"01x04 - Episode Four",396
"2252","daisy mason"," I'in't that what I just said? And why would he be when he's seen and done so much and I've been nowhere and done nothing?",38,"01x04 - Episode Four",397
"2253","mrs patmore"," Perhaps Thomas has seen and done more than is good for him. He's not a lady's man.",38,"01x04 - Episode Four",398
"2254","daisy mason"," But i'in't it a blessed relief?",38,"01x04 - Episode Four",399
"2255","mrs patmore"," Daisy, Thomas is a troubled soul.",38,"01x04 - Episode Four",400
"2256","daisy mason"," I don't know what you mean, Mrs Patmore.",38,"01x04 - Episode Four",401
"2257","mrs patmore"," Oh, nothing. I don't mean anything. Except, if I don't get the ice cream started, they'll be dining at midnight.",38,"01x04 - Episode Four",402
"2258","lady sybil"," Golly, my corset's tight. Anna, when you've done that, would you be an angel and loosen it a bit?",39,"01x04 - Episode Four",403
"2259","lady edith"," The start of the slippery slope.",39,"01x04 - Episode Four",404
"2260","lady sybil"," I'm not putting on weight.",39,"01x04 - Episode Four",405
"2261","lady edith"," It didn't shrink in the drawer.",39,"01x04 - Episode Four",406
"2262","lady mary"," Are you coming down?",39,"01x04 - Episode Four",407
"2263","lady sybil"," I don't know why we bother with corsets. Men don't wear them and they look perfectly normal in their clothes.",39,"01x04 - Episode Four",408
"2264","lady mary"," Not all of them.",39,"01x04 - Episode Four",409
"2265","lady edith"," She's just showing off. She'll be on about the vote in a minute.",39,"01x04 - Episode Four",410
"2266","lady sybil"," If you mean, do I think women should have the vote, of course I do.",39,"01x04 - Episode Four",411
"2267","lady edith"," I hope you won't chain yourself to the railings and end up being force fed semolina.",39,"01x04 - Episode Four",412
"2268","lady mary"," What do you think, Anna?",39,"01x04 - Episode Four",413
"2269","anna bates"," I think those women are very brave.",39,"01x04 - Episode Four",414
"2270","lady sybil"," Hear, hear.",39,"01x04 - Episode Four",415
"2271","robert, earl of grantham"," How did you get on with your dressmaker? Find anything?",40,"01x04 - Episode Four",416
"2272","lady sybil"," I did. And she says she can have it done by Friday.",40,"01x04 - Episode Four",417
"2273","robert, earl of grantham"," I'm sorry I couldn't come, but I didn't want to put Matthew off.",40,"01x04 - Episode Four",418
"2274","lady edith"," Were you pleased with the cottages?",40,"01x04 - Episode Four",419
"2275","robert, earl of grantham"," I think they're making a very good job of them. You must all go and see.",40,"01x04 - Episode Four",420
"2276","cora, countess of grantham"," You will restore a few every year from now on?",40,"01x04 - Episode Four",421
"2277","robert, earl of grantham"," It was Matthew's idea. Old Cripps was rather reluctant, but I'm pleased we went forward.",40,"01x04 - Episode Four",422
"2278","lady edith"," I suppose it's worth it.",40,"01x04 - Episode Four",423
"2279","lady sybil"," Of course it is, because of the people who will live in them.",40,"01x04 - Episode Four",424
"2280","robert, earl of grantham"," You'll be glad to hear that Matthew's conscience is much more energetic than mine.",40,"01x04 - Episode Four",425
"2281","lady mary"," If you'll excuse me, I'm going to bed. I've rather a headache.",40,"01x04 - Episode Four",426
"2282","cora, countess of grantham"," Of course. Should I bring you something for it?",40,"01x04 - Episode Four",427
"2283","lady mary"," No, I'll be perfectly fine if I can just lie down.",40,"01x04 - Episode Four",428
"2284","cora, countess of grantham"," Mary...",40,"01x04 - Episode Four",429
"2285","cora, countess of grantham"," Oh, my darling. What is it?",41,"01x04 - Episode Four",430
"2286","lady mary"," You heard him. Matthew this. Matthew that. Matthew, Matthew, Matthew. Oh, Mother, don't you see? He has his son now. Of course he didn't argue with the entail. Why would he when he's got what he always wanted?",41,"01x04 - Episode Four",431
"2287","cora, countess of grantham"," Your father loves you very much.",41,"01x04 - Episode Four",432
"2288","lady mary"," He wouldn't fight for me, though.",41,"01x04 - Episode Four",433
"2289","cora, countess of grantham"," He wouldn't fight for you because he knew he couldn't win.",41,"01x04 - Episode Four",434
"2290","lady mary"," You're no better.",41,"01x04 - Episode Four",435
"2291","cora, countess of grantham"," What?",41,"01x04 - Episode Four",436
"2292","lady mary"," You don't care about Matthew getting everything, because you don't think I'm worthy of it!",41,"01x04 - Episode Four",437
"2293","cora, countess of grantham"," Mary!",41,"01x04 - Episode Four",438
"2294","lady mary"," I wish you'd just admit it! I'm a lost soul to you! I took a lover with no thought of marriage! A Turk! Think of that! Oh, my dear! Don't worry, Mama. You can go down now. Everything will look better in the morning. Isn't that what you usually say?",41,"01x04 - Episode Four",439
"2295","cora, countess of grantham"," I say it because it's usually true.",41,"01x04 - Episode Four",440
"2296","lady mary"," Papa will wonder where you are.",41,"01x04 - Episode Four",441
"2297","cora, countess of grantham"," Don't quarrel with Matthew.",41,"01x04 - Episode Four",442
"2298","lady mary"," Why shouldn't I?",41,"01x04 - Episode Four",443
"2299","cora, countess of grantham"," Because one day you may need him.",41,"01x04 - Episode Four",444
"2300","lady mary"," Oh, I see. When I've ruined myself, I must have a powerful protector to hide behind.",41,"01x04 - Episode Four",445
"2301","mrs hughes"," I'd tell you off—",42,"01x04 - Episode Four",446
"2302","mrs hughes"," But I like to hear you play. Where are they all?",42,"01x04 - Episode Four",447
"2303","william"," Busy, I suppose.",42,"01x04 - Episode Four",448
"2304","mrs hughes"," Haven't you got anything to do?",42,"01x04 - Episode Four",449
"2305","william"," Yes, I have. 'Course I have.",42,"01x04 - Episode Four",450
"2306","mrs hughes"," You mustn't let Thomas get you down. He's just jealous. Everyone likes you better than him.",42,"01x04 - Episode Four",451
"2307","william"," Not everyone.",42,"01x04 - Episode Four",452
"2308","mrs hughes"," Then she's a foolish girl and she doesn't deserve you. Though, why am I encouraging you? Forget all that for ten years at least.",42,"01x04 - Episode Four",453
"2309","william"," You're a kind woman, Mrs Hughes. I don't know how this house would run without you. I don't, truly.",42,"01x04 - Episode Four",454
"2310","mrs hughes"," Stop flannelling and get on before I betray you to Mr Carson.",42,"01x04 - Episode Four",455
"2311","lady sybil"," Is there anything more thrilling than a new frock?",44,"01x04 - Episode Four",456
"2312","gwen"," I suppose not, milady.",44,"01x04 - Episode Four",457
"2313","lady sybil"," You shall have one, too. I thought this would be suitable for your interview.",44,"01x04 - Episode Four",458
"2314","gwen"," Well, I won't be wearing it, milady.",44,"01x04 - Episode Four",459
"2315","lady sybil"," Of course you will! We have to make you look like a successful professional woman. What is it? What's happened?",44,"01x04 - Episode Four",460
"2316","gwen"," Well, I won't wear it because I'm not going. They've cancelled the appointment. They've found someone more suited for the post and better qualified.",44,"01x04 - Episode Four",461
"2317","lady sybil"," This time.",44,"01x04 - Episode Four",462
"2318","gwen"," Let's face it. There will never be anyone less suited for the post or worse qualified than I am.",44,"01x04 - Episode Four",463
"2319","lady sybil"," That isn't true. You'll see. We're not giving up. No one hits the bull's eye with the first arrow.",44,"01x04 - Episode Four",464
"2320","mr carson"," I've put out the Rundell candlesticks for dinner tonight.",45,"01x04 - Episode Four",465
"2321","mr carson"," Ah. I'm sorry, I'll come back later.",45,"01x04 - Episode Four",466
"2322","mrs hughes"," No, stay, please. I've got something I'd like to talk to you about, if you've a minute.",45,"01x04 - Episode Four",467
"2323","mrs hughes"," Before I first came here as head housemaid, I was walking out with a farmer. When I told him I'd taken a job at Downton, he asked me to marry him. I was a farmer's daughter from Argyle, so I knew the life. He was very nice. But then I came here and I—I did well, and I...I didn't want to give it up. So, I told him no, and he married someone else. She died three years ago, and last month, he wrote asking to see me again, and I agreed, because all this time, I've wondered.",45,"01x04 - Episode Four",468
"2324","mr carson"," Go on.",45,"01x04 - Episode Four",469
"2325","mrs hughes"," I met him the other night. We had dinner at the Grantham Arms and after, he took me to the fair.",45,"01x04 - Episode Four",470
"2326","mr carson"," And he was horrible and fat and red-faced and you couldn't think what you ever saw in him?",45,"01x04 - Episode Four",471
"2327","mrs hughes"," He was still a nice man. He is still a nice man. Well, he was a bit red-faced, and his suit was a little tight, but none of that matters. In the real ways, he hadn't changed.",45,"01x04 - Episode Four",472
"2328","mr carson"," And he proposed again...and you accepted?",45,"01x04 - Episode Four",473
"2329","mrs hughes"," In many ways, I wanted to accept. But I'm not that farm girl anymore. I was flattered, of course, but... I've changed, Mr Carson.",45,"01x04 - Episode Four",474
"2330","mr carson"," Life's altered you, as it's altered me. And what would be the point of living if we didn't let life change us? You won't be leaving, then?",45,"01x04 - Episode Four",475
"2331","anna bates"," You better come. Mrs Patmore's on the rampage. She wants the key to the store cupboard, and you know how angry she gets she hasn't got one of her own.",45,"01x04 - Episode Four",476
"2332","mrs hughes"," Nor will she have. Not while I'm housekeeper here. Leaving? When would I ever find the time.",45,"01x04 - Episode Four",477
"2333","mrs patmore"," ...I had to go cap in hand to Mary. It never stops!",45,"01x04 - Episode Four",478
"2334","cora, countess of grantham"," Whatever is holding Sybil up?",46,"01x04 - Episode Four",479
"2335","lady mary"," She was going on about her new frock.",46,"01x04 - Episode Four",480
"2336","robert, earl of grantham"," We'd better go in without her, or it's not fair on Mrs Patmore.",48,"01x04 - Episode Four",481
"2337","violet, dowager countess of grantham"," Oh, is her cooking so precisely timed? You couldn't tell.",48,"01x04 - Episode Four",482
"2338","isobel crawley"," I think her food is delicious.",50,"01x04 - Episode Four",483
"2339","violet, dowager countess of grantham"," Naturally.",50,"01x04 - Episode Four",484
"2340","anna bates"," You made me jump.",2,"01x05 - Episode Five",1
"2341","gwen"," Daisy, what is the matter with you? You're all thumbs.",2,"01x05 - Episode Five",2
"2342","daisy mason"," Sorry. I hate this room.",2,"01x05 - Episode Five",3
"2343","gwen"," Well, why? What's the matter with it?",2,"01x05 - Episode Five",4
"2344","anna bates"," Daisy?",2,"01x05 - Episode Five",5
"2345","lady mary"," Who's that from, Papa? You seem very absorbed.",3,"01x05 - Episode Five",6
"2346","robert, earl of grantham"," Your Aunt Rosamund.",3,"01x05 - Episode Five",7
"2347","lady edith"," Anything interesting?",3,"01x05 - Episode Five",8
"2348","robert, earl of grantham"," Nothing to trouble you with.",3,"01x05 - Episode Five",9
"2349","lady sybil"," Poor Aunt Rosamund, all alone in that big house. I feel so sorry for her.",3,"01x05 - Episode Five",10
"2350","lady mary"," I don't. All alone with plenty of money and a house in Eton Square? I can't imagine anything better.",3,"01x05 - Episode Five",11
"2351","robert, earl of grantham"," Really, Mary, I wish you wouldn't talk like that. There will come a day when someone thinks you mean what you say.",3,"01x05 - Episode Five",12
"2352","lady mary"," It can't come soon enough for me.",3,"01x05 - Episode Five",13
"2353","robert, earl of grantham"," Carson, I'll be in the library. Will you let me know when Her Ladyship is down?",3,"01x05 - Episode Five",14
"2354","mr carson"," Certainly, my lord.",3,"01x05 - Episode Five",15
"2355","robert, earl of grantham"," Sybil, darling, this one's for you.",3,"01x05 - Episode Five",16
"2356","lady sybil"," I saw another opening for a secretary and I applied.",4,"01x05 - Episode Five",17
"2357","gwen"," But you never said.",4,"01x05 - Episode Five",18
"2358","lady sybil"," I didn't want you to be disappointed.",4,"01x05 - Episode Five",19
"2359","gwen"," I thought you'd given up.",4,"01x05 - Episode Five",20
"2360","lady sybil"," I'll never give up, and nor will you. Things are changing for women, Gwen. Not just the vote, but our lives.",4,"01x05 - Episode Five",21
"2361","gwen"," But it's tomorrow at ten o'clock. Last time, we waited for weeks and weeks and—and this one's tomorrow.",4,"01x05 - Episode Five",22
"2362","lady sybil"," Then we must be ready by tomorrow, mustn't we?",4,"01x05 - Episode Five",23
"2363","isobel crawley"," I thought I'd write to Edith to settle our promised church visit.",5,"01x05 - Episode Five",24
"2364","matthew"," If you want.",5,"01x05 - Episode Five",25
"2365","isobel crawley"," Well, we can't just throw her over when she made such an effort to arrange the last one.",5,"01x05 - Episode Five",26
"2366","matthew"," It's all in your head.",5,"01x05 - Episode Five",27
"2367","isobel crawley"," I don't think so.",5,"01x05 - Episode Five",28
"2368","matthew"," Then...she's barking up the wrong tree.",5,"01x05 - Episode Five",29
"2369","isobel crawley"," Poor Edith, I hope there's a right tree for her somewhere.",5,"01x05 - Episode Five",30
"2370","mr molesley"," Ma'am, I was wondering if I might take some time this afternoon to help in the village hall.",5,"01x05 - Episode Five",31
"2371","matthew"," Why? What's happening?",5,"01x05 - Episode Five",32
"2372","mr molesley"," It's the flower show, sir, next Saturday. I'll give my father a hand with his stall if I may.",5,"01x05 - Episode Five",33
"2373","isobel crawley"," Of course you must go.",5,"01x05 - Episode Five",34
"2374","matthew"," And so, I'm afraid, must I.",5,"01x05 - Episode Five",35
"2375","mr bates"," Is Mr Carson about?",6,"01x05 - Episode Five",36
"2376","thomas"," I don't think so. I was just looking for him myself.",6,"01x05 - Episode Five",37
"2377","robert, earl of grantham"," Busy?",7,"01x05 - Episode Five",38
"2378","cora, countess of grantham"," I'm just trying to sort out the wretched flower show.",7,"01x05 - Episode Five",39
"2379","robert, earl of grantham"," I've had a letter from Rosamund.",7,"01x05 - Episode Five",40
"2380","cora, countess of grantham"," Don't tell me, she wants a saddle of lamb and all the fruit and vegetables we can muster.",7,"01x05 - Episode Five",41
"2381","robert, earl of grantham"," She enjoys a taste of her old home.",7,"01x05 - Episode Five",42
"2382","cora, countess of grantham"," (chuckles) She enjoys not paying for food.",7,"01x05 - Episode Five",43
"2383","robert, earl of grantham"," But there's something else. Apparently, the word is going 'round London that Evelyn Napier has given up any thought of Mary, that he's going to marry one of the Sempill girls. She writes as if somehow it reflects badly on Mary.",7,"01x05 - Episode Five",44
"2384","cora, countess of grantham"," Your dear sister's always such a harbinger of joy.",7,"01x05 - Episode Five",45
"2385","robert, earl of grantham"," No, as if...as if Mary had somehow been found wanting in her character.",7,"01x05 - Episode Five",46
"2386","cora, countess of grantham"," Well, I don't believe Mr Napier would have said that.",7,"01x05 - Episode Five",47
"2387","robert, earl of grantham"," Neither do I, really, but—",7,"01x05 - Episode Five",48
"2388","cora, countess of grantham"," She ought to be married. Talk to her.",7,"01x05 - Episode Five",49
"2389","robert, earl of grantham"," (chuckles) She never listens to me. If she did, she'd marry Matthew.",7,"01x05 - Episode Five",50
"2390","cora, countess of grantham"," What about Anthony Strallan?",7,"01x05 - Episode Five",51
"2391","robert, earl of grantham"," Anthony Strallan is at least my age and as dull as paint. I doubt she'd want to sit next to him at dinner, let alone marry him.",7,"01x05 - Episode Five",52
"2392","cora, countess of grantham"," She has to marry someone, Robert. And if this is what's being said in London, she has to marry soon.",7,"01x05 - Episode Five",53
"2393","miss o'brien"," You shouldn't do that in here.",8,"01x05 - Episode Five",54
"2394","william"," I don't like being in the pantry all alone. Mr Carson won't mind. He's gone into the village.",8,"01x05 - Episode Five",55
"2395","thomas"," He'll mind if I tell him.",8,"01x05 - Episode Five",56
"2396","daisy mason"," That's ridiculous.",8,"01x05 - Episode Five",57
"2397","miss o'brien"," Do you think so? She wants it put onto a new shirt, but it's a bit old fashioned to my taste.",8,"01x05 - Episode Five",58
"2398","daisy mason"," Oh, no, it's lovely.",8,"01x05 - Episode Five",59
"2399","anna bates"," Have you recovered, Daisy?",8,"01x05 - Episode Five",60
"2400","mr bates"," What from?",8,"01x05 - Episode Five",61
"2401","anna bates"," She had a bit of a turn when we were in Lady Mary's room, didn't you?",8,"01x05 - Episode Five",62
"2402","daisy mason"," I'm fine, thank you.",8,"01x05 - Episode Five",63
"2403","thomas"," What sort of a turn? Did you see a ghost?",8,"01x05 - Episode Five",64
"2404","william"," Will you leave her alone if she doesn't want to talk about it?",8,"01x05 - Episode Five",65
"2405","thomas"," I've often wondered if this place is haunted. It ought to be.",8,"01x05 - Episode Five",66
"2406","miss o'brien"," Of the spirits of maids and footmen who died in slavery?",8,"01x05 - Episode Five",67
"2407","mr bates"," But not, in Thomas's case, from overwork.",8,"01x05 - Episode Five",68
"2408","thomas"," Come on, Daisy, what was it?",8,"01x05 - Episode Five",69
"2409","daisy mason"," I don't know. I was thinking, first we had the Titanic--",8,"01x05 - Episode Five",70
"2410","miss o'brien"," Don't keep harping back to that.",8,"01x05 - Episode Five",71
"2411","daisy mason"," I know it was a while ago, but we knew him. I think of how we laid the fires for Mr Patrick, but he drowned in them icy waters.",8,"01x05 - Episode Five",72
"2412","miss o'brien"," For God's sake.",8,"01x05 - Episode Five",73
"2413","daisy mason"," And then there's the Turkish gentleman. It just seems there's been too much death in the house.",8,"01x05 - Episode Five",74
"2414","william"," What's that got to do with Lady Mary's bedroom?",8,"01x05 - Episode Five",75
"2415","daisy mason"," Nothing. Nothing at all.",8,"01x05 - Episode Five",76
"2416","mr molesley"," Afternoon, ma'am.",9,"01x05 - Episode Five",77
"2417","isobel crawley"," When do you put that magnificent display of prizes on show?",9,"01x05 - Episode Five",78
"2418","mr molesley"," Not till the day itself.",9,"01x05 - Episode Five",79
"2419","isobel crawley"," I remember a superb cup from last year.",9,"01x05 - Episode Five",80
"2420","mr molesley"," The Grantham Cup. It was donated by the late Lord Grantham for the best bloom in the village.",9,"01x05 - Episode Five",81
"2421","isobel crawley"," And who won it?",9,"01x05 - Episode Five",82
"2422","violet, dowager countess of grantham"," I did.",9,"01x05 - Episode Five",83
"2423","isobel crawley"," Well done. And the year before?",9,"01x05 - Episode Five",84
"2424","mr molesley"," Her Ladyship won that one, too.",9,"01x05 - Episode Five",85
"2425","isobel crawley"," Heaven's, how thrilling. And before that?",9,"01x05 - Episode Five",86
"2426","mr molesley"," You've met my father.",9,"01x05 - Episode Five",87
"2427","isobel crawley"," Good afternoon, Mr Molesley. What are you showing this year?",9,"01x05 - Episode Five",88
"2428","mr william molesley"," Oh, this and that.",9,"01x05 - Episode Five",89
"2429","mr molesley"," Only the finest roses in the village.",9,"01x05 - Episode Five",90
"2430","isobel crawley"," Really? What an achievement.",9,"01x05 - Episode Five",91
"2431","violet, dowager countess of grantham"," It's a wonderful area for roses. We're very lucky. We'll see some beautiful examples right across the show, won't we, Mr Molesley?",9,"01x05 - Episode Five",92
"2432","mr william molesley"," If you say so, Your Ladyship.",9,"01x05 - Episode Five",93
"2433","miss o'brien"," What's up with you?",10,"01x05 - Episode Five",94
"2434","thomas"," Nothing.",10,"01x05 - Episode Five",95
"2435","miss o'brien"," His Lordship's blaming Mr Napier for spreading gossip about Lady Mary, but it was you, wasn't it?",10,"01x05 - Episode Five",96
"2436","thomas"," Why do you say that?",10,"01x05 - Episode Five",97
"2437","miss o'brien"," Because Napier wasn't in on it. Only four people knew he was in her room that night. You, me, Lady Mary, and possibly Daisy, and I haven't said nothing to nobody.",10,"01x05 - Episode Five",98
"2438","thomas"," Well, I didn't tell about Pamuk, I just wrote that Lady Mary was no better than she ought to be.",10,"01x05 - Episode Five",99
"2439","miss o'brien"," Who did you write it to?",10,"01x05 - Episode Five",100
"2440","thomas"," Only a friend of mine, valet to Lord Savident.",10,"01x05 - Episode Five",101
"2441","miss o'brien"," You know what they say about Old Savident. ""Not so much an open mind as an open mouth."" No wonder it's all 'round London.",10,"01x05 - Episode Five",102
"2442","thomas"," You won't tell, will you? I'm in enough trouble as it is.",10,"01x05 - Episode Five",103
"2443","miss o'brien"," Why, what's happened?",10,"01x05 - Episode Five",104
"2444","thomas"," Mr Bates saw me nicking a bottle of wine.",10,"01x05 - Episode Five",105
"2445","miss o'brien"," Has he told Mr Carson?",10,"01x05 - Episode Five",106
"2446","thomas"," Not yet, but he will when he's feeling spiteful. I wish we could be shot of him.",10,"01x05 - Episode Five",107
"2447","miss o'brien"," Then think of something quick. Turn the tables on him before he has a chance to nail you.",10,"01x05 - Episode Five",108
"2448","robert, earl of grantham"," I thought you went to bed hours ago.",11,"01x05 - Episode Five",109
"2449","lady sybil"," I was writing a note for Lynch. I need the governess cart tomorrow.",11,"01x05 - Episode Five",110
"2450","robert, earl of grantham"," Oh?",11,"01x05 - Episode Five",111
"2451","lady sybil"," I'm going to Moulton.",11,"01x05 - Episode Five",112
"2452","robert, earl of grantham"," Oh, don't risk the traffic in Moulton, not now every Tom, Dick, and Harry seems to have a motor.",11,"01x05 - Episode Five",113
"2453","lady sybil"," Hardly.",11,"01x05 - Episode Five",114
"2454","robert, earl of grantham"," Last time I was there, there were five cars parked in the marketplace and another three drove past while I was waiting. Get Branson to take you in the car. Neither of us are using it.",11,"01x05 - Episode Five",115
"2455","lady sybil"," I thought I'd pop in on old Mrs Steward. Will you tell Mama if I forget?",11,"01x05 - Episode Five",116
"2456","miss o'brien"," You're late this morning.",12,"01x05 - Episode Five",117
"2457","daisy mason"," The library grate needed a real going over. Are any of them down yet?",12,"01x05 - Episode Five",118
"2458","thomas"," Lady Sybil's in the dining room.",12,"01x05 - Episode Five",119
"2459","daisy mason"," I'll start with her room, then.",12,"01x05 - Episode Five",120
